Player,Nation,Age,Squad,Grupo_Posicao,90s,Gls,Ast,Sh,SoT,CrdY,CrdR,Golos_Equipa,Remates_Equipa,%Golos_Equipa,%Remates_Equipa,%_G+A_Equipa,%_Pontaria,Golos_por_Remate,Golos_por_Remate_Enquadrado,Indice_Conversao_Relativa_Equipa,Remates/90,G+A s/ Penáltis/90,Ast_por_Crz_%,Cruzamentos/90,Ações_Defensivas/90,TklW_por_Falta,Faltas/90,Cartões/90,Indice_Disciplinar,rating,estilo
Rodrigo Abascal,uy URU,31,Vit. Guimarães,DEF,25.2,1,2,15,2,6,0,33,390,3.0303030303030303,3.8461538461538463,9.090909090909092,13.333333333333334,0.06666666666666667,0.5,0.7878787878787878,0.5952380952380952,0.11904761904761905,5.263157894736842,1.507936507936508,1.9841269841269842,0.5806451612903226,1.2301587301587302,0.2380952380952381,0.2380952380952381,48.4,Defesas Puros
Telmo Arcanjo,cv CPV,24,Vit. Guimarães,MID,13.8,1,0,27,9,2,1,33,390,3.0303030303030303,6.923076923076923,3.0303030303030303,33.33333333333333,0.037037037037037035,0.1111111111111111,0.4377104377104377,1.9565217391304346,0.07246376811594203,0.0,6.304347826086956,1.8115942028985506,0.9375,1.1594202898550725,0.21739130434782608,0.36231884057971014,42.9,Criadores pelos Corredores
Thiago Balieiro,br BRA,22,Vit. Guimarães,DEF,13.0,1,0,11,4,5,0,33,390,3.0303030303030303,2.8205128205128207,3.0303030303030303,36.36363636363637,0.09090909090909091,0.25,1.0743801652892562,0.8461538461538461,0.07692307692307693,0.0,0.0,2.3846153846153846,0.8,1.5384615384615385,0.38461538461538464,0.38461538461538464,46.6,Contenção / Box-to-Box Defensivo
Beni,ao ANG,23,Vit. Guimarães,MID,24.9,1,1,8,2,7,0,33,390,3.0303030303030303,2.051282051282051,6.0606060606060606,25.0,0.125,0.5,1.4772727272727273,0.321285140562249,0.08032128514056225,11.11111111111111,0.3614457831325301,2.4096385542168677,0.8709677419354839,1.244979919678715,0.28112449799196787,0.28112449799196787,46.1,Contenção / Box-to-Box Defensivo
Oumar Camara,fr FRA,18,Vit. Guimarães,MID,16.7,5,2,25,10,2,0,33,390,15.151515151515152,6.41025641025641,21.21212121212121,40.0,0.2,0.5,2.3636363636363638,1.4970059880239521,0.3592814371257485,8.333333333333332,1.437125748502994,0.7784431137724551,0.5294117647058824,1.0179640718562875,0.11976047904191617,0.11976047904191617,50.6,Finalizadores
Diogo Lobão,pt POR,19,Vit. Guimarães,MID,12.9,1,1,24,9,5,0,33,390,3.0303030303030303,6.153846153846154,6.0606060606060606,37.5,0.041666666666666664,0.1111111111111111,0.4924242424242424,1.8604651162790697,0.15503875968992248,5.88235294117647,1.317829457364341,2.7131782945736433,0.6666666666666666,2.3255813953488373,0.38759689922480617,0.38759689922480617,56.3,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Miguel Maga,pt POR,22,Vit. Guimarães,DEF,17.4,0,0,3,0,5,0,33,390,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,0.0,1.8965517241379313,1.8390804597701151,0.7368421052631579,1.0919540229885059,0.2873563218390805,0.2873563218390805,46.7,Defesas Puros
João Mendes,pt POR,25,Vit. Guimarães,DEF,27.0,1,1,30,5,7,0,33,390,3.0303030303030303,7.6923076923076925,6.0606060606060606,16.666666666666664,0.03333333333333333,0.2,0.3939393939393939,1.1111111111111112,0.037037037037037035,1.282051282051282,2.888888888888889,2.3333333333333335,0.9722222222222222,1.3333333333333333,0.25925925925925924,0.25925925925925924,56.0,Defesas Puros
Alioune Ndoye,sn SEN,23,Vit. Guimarães,FWD,10.7,2,1,39,10,2,0,33,390,6.0606060606060606,10.0,9.090909090909092,25.64102564102564,0.05128205128205128,0.2,0.6060606060606061,3.6448598130841123,0.28037383177570097,33.33333333333333,0.28037383177570097,0.5607476635514019,0.2,1.869158878504673,0.1869158878504673,0.1869158878504673,48.0,Finalizadores
Miguel Nóbrega,pt POR,25,Vit. Guimarães,DEF,11.1,1,0,9,1,1,0,33,390,3.0303030303030303,2.307692307692308,3.0303030303030303,11.11111111111111,0.1111111111111111,1.0,1.313131313131313,0.8108108108108109,0.0900900900900901,0.0,0.2702702702702703,1.1711711711711712,0.23076923076923078,1.1711711711711712,0.0900900900900901,0.0900900900900901,41.4,Defesas Puros
Gonçalo Nogueira,pt POR,21,Vit. Guimarães,MID,14.9,0,4,8,1,2,0,33,390,0.0,2.051282051282051,12.121212121212121,12.5,0.0,0.0,0.0,0.5369127516778524,0.2684563758389262,133.33333333333331,0.20134228187919462,2.5503355704697985,0.84375,2.1476510067114094,0.1342281879194631,0.1342281879194631,68.1,Defesas Puros
Nélson Oliveira,pt POR,33,Vit. Guimarães,FWD,14.6,3,0,31,11,3,1,33,390,9.090909090909092,7.948717948717948,9.090909090909092,35.483870967741936,0.0967741935483871,0.2727272727272727,1.1436950146627567,2.1232876712328768,0.20547945205479454,0.0,0.547945205479452,0.136986301369863,0.0,1.3013698630136987,0.273972602739726,0.4109589041095891,43.1,Finalizadores
Óscar Rivas,es ESP,25,Vit. Guimarães,DEF,18.0,1,0,13,4,1,0,33,390,3.0303030303030303,3.3333333333333335,3.0303030303030303,30.76923076923077,0.07692307692307693,0.25,0.9090909090909091,0.7222222222222222,0.05555555555555555,0.0,0.16666666666666666,2.1666666666666665,0.5294117647058824,0.9444444444444444,0.05555555555555555,0.05555555555555555,55.0,Contenção / Box-to-Box Defensivo
Samu,pt POR,29,Vit. Guimarães,MID,22.5,7,3,46,19,4,0,33,390,21.21212121212121,11.794871794871794,30.303030303030305,41.30434782608695,0.15217391304347827,0.3684210526315789,1.7984189723320159,2.0444444444444443,0.35555555555555557,2.7777777777777777,4.8,2.0444444444444443,0.7272727272727273,1.9555555555555555,0.17777777777777778,0.17777777777777778,60.4,Criadores pelos Corredores
Noah Saviolo,pt POR,21,Vit. Guimarães,MID,21.7,2,4,33,12,2,0,33,390,6.0606060606060606,8.461538461538462,18.181818181818183,36.36363636363637,0.06060606060606061,0.16666666666666666,0.7162534435261708,1.5207373271889402,0.2764976958525346,4.705882352941177,3.9170506912442398,0.6912442396313364,0.3939393939393939,1.5207373271889402,0.09216589861751152,0.09216589861751152,44.3,Criadores pelos Corredores
Gustavo da Silva,br BRA,26,Vit. Guimarães,FWD,16.2,5,2,53,16,3,0,33,390,15.151515151515152,13.58974358974359,21.21212121212121,30.18867924528302,0.09433962264150944,0.3125,1.1149228130360207,3.2716049382716053,0.4320987654320988,10.526315789473683,1.1728395061728396,1.8518518518518519,0.42857142857142855,1.7283950617283952,0.1851851851851852,0.1851851851851852,50.8,Finalizadores
Tony Strata,ro ROU,20,Vit. Guimarães,DEF,15.6,1,1,15,4,3,0,33,390,3.0303030303030303,3.8461538461538463,6.0606060606060606,26.666666666666668,0.06666666666666667,0.25,0.7878787878787878,0.9615384615384616,0.12820512820512822,1.5151515151515151,4.230769230769231,2.6923076923076925,0.7307692307692307,1.6666666666666667,0.19230769230769232,0.19230769230769232,62.1,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Nelson Abbey,eng ENG,21,Rio Ave,DEF,23.1,0,1,4,1,4,0,33,307,0.0,1.3029315960912053,3.0303030303030303,25.0,0.0,0.0,0.0,0.17316017316017315,0.04329004329004329,5.263157894736842,0.8225108225108224,2.4242424242424243,2.3076923076923075,0.5627705627705627,0.17316017316017315,0.17316017316017315,68.0,Contenção / Box-to-Box Defensivo
Brandon Aguilera,cr CRC,22,Rio Ave,MID,15.2,1,0,14,5,4,0,33,307,3.0303030303030303,4.5602605863192185,3.0303030303030303,35.714285714285715,0.07142857142857142,0.2,0.6645021645021645,0.9210526315789475,0.06578947368421052,0.0,2.697368421052632,1.7105263157894737,0.5882352941176471,1.118421052631579,0.2631578947368421,0.2631578947368421,42.9,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Nicolaos Athanasiou,gr GRE,24,Rio Ave,MID,14.5,0,1,6,0,1,0,33,307,0.0,1.9543973941368076,3.0303030303030303,0.0,0.0,0.0,0.0,0.41379310344827586,0.06896551724137931,1.694915254237288,4.068965517241379,1.793103448275862,1.1538461538461537,0.896551724137931,0.06896551724137931,0.06896551724137931,28.2,Defesas Puros
Diogo Bezerra,br BRA,23,Rio Ave,MID,14.0,1,2,27,9,3,0,33,307,3.0303030303030303,8.794788273615636,9.090909090909092,33.33333333333333,0.037037037037037035,0.1111111111111111,0.3445566778900112,1.9285714285714286,0.21428571428571427,1.6260162601626018,8.785714285714286,1.0,0.5,1.0,0.21428571428571427,0.21428571428571427,42.5,Criadores pelos Corredores
Jalen Blesa,es ESP,24,Rio Ave,FWD,11.9,7,0,23,14,1,0,33,307,21.21212121212121,7.491856677524431,21.21212121212121,60.86956521739131,0.30434782608695654,0.5,2.8313570487483526,1.9327731092436975,0.5042016806722689,0.0,0.5042016806722689,1.3445378151260503,0.7142857142857143,1.1764705882352942,0.08403361344537814,0.08403361344537814,58.3,Finalizadores
Jakub Brabec,cz CZE,32,Rio Ave,DEF,23.9,1,0,5,1,4,0,33,307,3.0303030303030303,1.6286644951140066,3.0303030303030303,20.0,0.2,1.0,1.8606060606060606,0.2092050209205021,0.041841004184100423,0.0,0.08368200836820085,2.1338912133891212,1.7272727272727273,0.46025104602510464,0.1673640167364017,0.1673640167364017,59.7,Contenção / Box-to-Box Defensivo
Clayton,br BRA,26,Rio Ave,FWD,17.7,10,4,43,23,8,1,33,307,30.303030303030305,14.006514657980457,42.42424242424242,53.48837209302325,0.23255813953488372,0.43478260869565216,2.1634954193093727,2.4293785310734464,0.6779661016949153,80.0,0.2824858757062147,0.16949152542372883,0.047619047619047616,2.3728813559322033,0.5084745762711864,0.6214689265536724,61.8,Finalizadores
André Inácio,br BRA,23,Rio Ave,FWD,16.6,7,5,43,19,3,0,33,307,21.21212121212121,14.006514657980457,36.36363636363637,44.18604651162791,0.16279069767441862,0.3684210526315789,1.5144467935165609,2.5903614457831323,0.7228915662650601,20.833333333333336,1.4457831325301203,0.7228915662650601,0.9090909090909091,0.6626506024096385,0.18072289156626503,0.18072289156626503,56.6,Finalizadores
